rating,title,content,author,date,version,rating_label,review_len
1,无敌封号王,一字一封号，一步一屠城，想体验把头别裤腰带上做号就来小红书。封官媒，封网警，见啥封神啥。别叫小红书了，改叫小封号吧。,杀戮之沉,2026-07-19,9.38.1,差评,58
1,神仙平台,擦边的不封，性暗示的不封，搞灰产的不封，发句评论直接封，这种平台也算是牛逼了,投掷手,2026-07-19,9.38.1,差评,38
1,因为登了妹妹的号就切不回原来账号了 重新下载一遍还是不行,什么意思呢这是,陈佳佳199,2026-07-18,9.38.1,差评,7
1,下它干嘛,里面的人是什么成分就不多说了,errorprogram,2026-07-18,9.38.1,差评,14
2,请你优化一下群聊,我好不容易跟管理员说好，让我进群进了群以后却发不了信息显示无法在已催群中发送信息可是明明我已经进去了这已经不是一次两次了，四五次了,请你优化小红书群聊,2026-07-18,9.38.1,差评,65
1,乌烟瘴气的一个平台,整个平台充斥着莫名其妙的戾气很重的评论，很多帖子都是降智的发言，三观导向很不正的一个平台，不过这公司的高管本身人品就差，还能指望能管理出啥正常公司,Wendy Shi,2026-07-18,9.38.1,差评,73
1,近期推广广告太多,基本刷几个帖子就有一天暗戳戳的产品推荐广告藏在里面，以前没有那么多，真的很影响体验,whatsoever 000,2026-07-18,9.38.1,差评,41
1,封号问题,真的不要管的太严了小红书官方！我都无缘无故被封掉几个号了，而且我希望你们可以添加一个解除实名 ，你们无缘无故给我封号，我实名怎么办？注销又说我有违规解除以后就不能用那个实名信息，我靠我真的要气死了，希望你们能该一下！！谢谢！！！,卖一只猪🐽,2026-07-18,9.38.1,差评,114
1,能不能不要再乱封号了,我服了,evenhino,2026-07-18,9.38.1,差评,3
1,莫名其妙限流根本不给申诉的，客服完全不管,这平台迟早完蛋,小王好好做游戏吧,2026-07-18,9.38.1,差评,7
4,小黄书挺好,现在成小黄书了，不错不错,黄高考,2026-07-18,9.38.1,好评,12
5,我是追星女,在小红书里我看到了很多同担，也让我学到了很多追星小知识（ybw cyh wlj ）高位出道！谢谢小红书！,祎智萌橹兔杨.,2026-07-18,9.38.1,好评,52
1,标了几百次不想看你还推,标了不感兴趣，你一而再再而三一直在推，你出这个功能的意义是什么😅,早点薯了吧,2026-07-18,9.38.1,差评,32
1,投诉,审核机制合理吗，申诉机制合理吗，有人在干活吗,匿名寄几了,2026-07-18,9.38.1,差评,22
1,乱封号,我的号无缘无故被封，什么还要扫脸,椿瞰,2026-07-18,9.38.1,差评,16
3,封号,我明明只是换了一个头像，人家评论问交友吗？我就回了一下，就被终身禁言了，时间就一个多小时。,玥曦 芷,2026-07-18,9.38.1,中评,45
1,随便封禁创作者账号却容忍他人私信每日骚扰恐吓,近期几乎每天收到一条陌生人私信骚扰恐吓但不管是如何举报，小红书审核部门只敷衍了事，容许他人一而再再二三私发信息，对账号不审核不禁言不处理。相反对被骚扰者发帖子警告却直接进行2日的账号行动封锁，简直助纣为虐,preferance715,2026-07-18,9.38.1,差评,102
1,请小红书不要随意无辜封禁账号,小红书大量引战内容无人管理，本人分享生活却被封禁，申诉也无正当解释,n-nyx,2026-07-18,9.38.1,差评,33
1,世界杯解说莓含金量,那个什么梧桐就是🪨,哈哈好lj哈,2026-07-18,9.38.1,差评,9
1,垃圾桶,一群恶臭粉圈，虚假广告，谣言聚集地！三观不正，颠倒黑白的双重标准！对随便发大字报网暴其他人的造谣者不作处理！反而对反驳者禁言，警告！,图片文字都很美！,2026-07-18,9.38.1,差评,66
1,小红书,无缘无故被禁言了。,W19910314,2026-07-18,9.38.1,差评,9
1,女拳集中营,太垃圾了，就这种还想上市啊，别骗投资人了,keyfggdhf,2026-07-18,9.38.1,差评,20
1,越来越垃圾,引流的引战的和xyy的骟肥猪男的，忘本的小红书你早点跟下沉市场一桌,hlohlomoji,2026-07-18,9.38.1,差评,33
3,请不要乱评ai,总是把别人没有用ai的高质作品给鉴ai,朱敏。汉，,2026-07-18,9.38.1,中评,19
1,超烂,赶紧倒闭，没良心的,薪火相传009,2026-07-18,9.38.1,差评,9
5,nb,￼仙品,那个那个哈达🥹🥹🥹￼,2026-07-18,9.38.1,好评,3
5,世界杯,非常期待,故菜,2026-07-18,9.38.1,好评,4
1,信息不安全,触发违规词就封号还有换号也连带责任 定位ip 登录历史 朋友登也容易记录成自己的违规信息,杨家欣1933,2026-07-18,9.38.1,差评,44
3,卡顿,现在小红书是越来越卡了，刷视频偶尔卡，看直播也是基本都卡的不行,Ssiya。,2026-07-18,9.38.1,中评,31
1,混乱的社区氛围,一般。,不知名软件测试,2026-07-18,9.38.1,差评,3
1,致敬最不爱捂嘴的app,发帖子幽灵状态别人看不到但不告诉你为什么；发评论别人看不到不通知你也不告诉你为什么；LLM的普通科普评论也能被举报没；明显种族主义的个人简介举报不掉；违规理由莫名其妙解释权全归平台所有，说你违规就违规，皇帝来的👍👍,raincore01,2026-07-18,9.38.1,差评,107
1,天天无缘无故封号,差评我真的很无语 真的第一次讨厌这个小红书 什么都没干 老是封账号 这以后还有几个能用 创一个什么没干就封 我真的气死了 无语死了 啥都没干封封封 以后干脆小红书上一句话也不让说算了真的对这个软件差评,shsh“”,2026-07-18,9.38.1,差评,100
1,老是封号,不是我才注册了几天就给我封了，现在下回来还是封着的，我啥也没发啊？我也啥也没干啊？怎么莫名其妙给我封号了！就没遇见过这么会封的，xhs你继续,迟早倒闭好吧,2026-07-18,9.38.1,差评,70
2,小红书频道栏的固定频道太多了 还是强制的跟本撤不掉 每次看自己想看的频道 还要划好久,这个频道栏 真是要改 太烦人了,xxhh844,2026-07-18,9.38.1,差评,15
1,发图不方便,每次上传图片都需要权限，如果没权限就直接把软件关闭，而且有人发现xhs在偷偷翻相册,fanqie207,2026-07-18,9.38.1,差评,41
1,请小红书人工审核申诉内容,亲爱的小红书审核团队你好！我要对小红书后台的审核机制提出疑问。作为一名长期支持和活跃使用小红书支持者我想提出几点问题，设备封禁了，申诉了，没两分钟就说申诉失败，真的有人工认真审核过吗？联系人工，要么就说等待 要么就说四十八小时给答复 要么就说联系专员 直面给出一个解决办法很难吗？违反了社区规定就要把设备封禁了吗？ 希望小红书得工作人员可以帮我解决此次问题 并且本人也以深刻地反省认识到了错误！ 感谢小红书工作人员,ymuun,2026-07-18,9.38.1,差评,207
5,无,可以,孙芯燕,2026-07-18,9.38.1,好评,2
1,奇葩的平台扭曲的价值观恶心的操作,阴谋诡计全使在歪心眼子上了，挣着女性的钱，但内心里只爱男。连动物保护四个字都会被悄咪咪隐藏掉，然后默默爱变态。价值观可见一斑。永远下头，避雷,mmoo2o,2026-07-18,9.38.1,差评,70
2,1,666,1…….（,2026-07-18,9.38.1,差评,3
1,能不能管管未成年,你知道小红书不用管年龄实名注册有多吓人嘛，我侄女才8岁，今天一起玩的时候给我说在玩一个什么什么圈子，里面有很多那种可能有色情的视频图片，而且未成年人法律意识很薄弱，很多法律问题都不懂，你个烂小红书你能不能管管，你家里没有小孩子的嘛？,muliling,2026-07-18,9.38.1,差评,116
1,垃圾软件分享照片不用确认,垃圾软件分享照片不用确认,Millelll,2026-07-18,9.38.1,差评,12
4,好麻烦,1.有些网络上的风气不好 2.我一连输了两次身份证号码，是因为第一次的时候啥也没干，官方就给我说我违规了。晕！我就平常刷刷视频啊！客服二话不说就直接给我号封了。 （因为内存不足选择删了） 其实还是很好的软件的，推荐😉 求官方看看吧🙃,惊魂夜老玩家,2026-07-18,9.38.1,好评,116
1,真的别乱审核了,什么叫包装人设呀？包装不符合我的人设，我什么人设你就说我是不符合我的人设，能不能不要乱审核呀？我真服了，就正常分享日常，怎么就是我包装人设了？怎么就是学历？怎么就是工作形象不符了？,真的别乱审核了,2026-07-18,9.38.1,差评,90
1,难用！！！！！,莫名其妙说账号违规，又不说明是哪里违规，违规申诉功能一点都不好用，没经过我的同意就私自清除账号ID头像，还禁止评论会发布信息，只能认罚然后自行解除，超级难用的app！！！！,小五0219,2026-07-18,9.38.1,差评,86
1,员工期权欺诈的APP伤害的是所有人民群众,如题,6617940,2026-07-18,9.38.1,差评,2
