date,rating,version,content,,,分类,数量,占比,,,
2026/7/15,1,9.38.1,一刷一个鸡贴，污染眼睛,内容同质化,,账号封禁,13 条,26%,,,
2026/7/18,1,9.38.1,多次申诉无用！,客服无响应,,审核误判,9 条,18%,,,
2026/7/13,1,9.38,一群母狗抱团取暖的女厕所,内容同质化,,客服无响应,8 条,16%,,,
2026/7/15,1,9.38.1,"彻底对小红书失望，平台风控、客服、申诉体系全方位不合理，严重损害普通用户账号权益。

1. 处罚规则无容错，追溯旧账加重处罚：账号5月底第一次违规封禁，7月3日申诉解封，平台时隔一周筛查历史旧笔记，仅凭早年一条内容，叠加历史处罚记录直接永久封禁，属于典型翻旧账从重处罚，完全不给改过自新的机会。

2. 处罚信息不透明，剥夺用户知情权：封号通知没有任何明细，不说明违规笔记编号、违规原文、对应社区条款，用户根本不知道问题出在哪里，无法自查整改。

3. 申诉渠道形同虚设：站内自助申诉由机器统一审核，无论怎么写诚恳说明都会直接驳回；人工客服无法介入复核，只会重复标准化话术，不能调取后台完整账号操作记录，没有人工复审通道。

4. 连带风控一刀切，牵连无辜账号：同一实名、同一设备登录过的所有账号互通风控档案，一个账号留下处罚记录，后续注册新号会被全程严格限制，轻微操作就触发限流、禁言。
平台一边鼓励普通人分享生活，一边用模糊、严苛的规则随意限制账号，出现误判后没有有效的维权途径，花费时间精力经营的账号说封就封，体验极差，已卸载，不会再推荐给身边朋友。",账号封禁 + 客服无响应,,内容同质化,8 条,16%,,,
2026/7/18,1,9.38.1,老推荐一些跳舞女的，就喜欢破坏人家家庭是吧,算法推荐差,,算法推荐差,3 条,6%,,,
2026/7/13,1,9.38,连给自己卖命的员工都坑???,其他,,广告太多,2 条,4%,,,
2026/7/18,1,9.38.1,那个什么梧桐就是??,其他（无有效吐槽）,,其他（含无实质吐槽）,17 条,34%,,,
2026/7/17,1,9.38.1,我是小红书的忠实粉丝，但是近期新买了一个二手苹果手机下载小红书说设备异常，我电话问了你们小红书客服，说原来用户可能违规，我说他违规是他的号违规，和我的号什么关系，现在把设备封禁，了我提供资料证明也无用，没有申诉渠道可以解封这个设备！差评,账号封禁 + 客服无响应,,功能 BUG,0 条,0%,,,
2026/7/16,1,9.38.1,恶意判账号违规，审核员都听不懂话来的(^V^),审核误判,,,0,,,,
2026/7/12,1,9.38,我的账号有问题吗就无缘无故封禁，自己点发现里面都是些啥东西,账号封禁 + 内容同质化,,,,,,,
2026/7/17,1,9.38.1,差评,其他,,,,,,,
2026/7/15,1,9.38.1,再乱封号我有损失你们赔，我一定主张民事赔偿告你们,账号封禁,,,,,,,
2026/7/12,1,9.38,官方多次约谈，什么烂货,其他,,,,,,,
2026/7/13,1,9.38,玩个游戏全部都是这个广告，烦死了,广告太多,,,,,,,
2026/7/17,1,9.38.1,经常隐形限流，问客服，客服每次翻来覆去都是那几句没用的话，特别垃圾的一个平台！！！！,客服无响应,,,,,,,
2026/7/12,1,9.38,没有违规，没有做错，号不给找回，找客服只是一直说废话，完全没有帮到用户解决问题，什么垃圾软件,客服无响应,,,,,,,
2026/7/15,1,9.38.1,垃圾软件，全是些打拳的，早点下架了的好,内容同质化,,,,,,,
2026/7/16,1,9.38.1,现在的小??简直和那个恋与???一样了，一群社会的毒瘤、九年义务教育漏网之鱼都来这犬吠让这变成了雌性野购的肮脏世界,内容同质化,,,,,,,
2026/7/12,1,9.38,小红书的产业链红房子，模仿狗狗的小孩子，这些是人干出来的事？？？,其他,,,,,,,
2026/7/13,1,9.38,全是小孩小学生 初中 嘴里网络用语 生活不如意乱喷人 这样没人会在用小红书的 准备卸载了 这个软件精神病太多 网络氛围不健康戾气重 明明那么好的软件 引来这群人太恶心了,内容同质化,,,,,,,
2026/7/16,1,9.38.1,动不动就封禁账号，祝你早日倒闭,账号封禁,,,,,,,
2026/7/14,1,9.38,怀孕的人慎用,其他（无实质内容）,,,,,,,
